station_id,station_type,access_mode,port_name,equipment_id,address,slide_mm,cad_x,cad_y,cad_z,draw_x,draw_y
5240,DUAL_ACCESS,UNIVERSAL,4PMC2208_2,4PMC2208,4782,1906,66665.176,-139808.82924802665,0.0,7463.666597136005,3019.50148105665
5238,DUAL_ACCESS,UNIVERSAL,4PMC2208_3,4PMC2208,4782,1399,66665.176,-139808.82924802665,0.0,7463.666597136005,3019.50148105665
5237,DUAL_ACCESS,UNIVERSAL,4PMC2208_4,4PMC2208,4782,893,66665.176,-139808.82924802665,0.0,7463.666597136005,3019.50148105665
5236,DUAL_ACCESS,UNIVERSAL,4PMC2209_1,4PMC2209,4781,1097,66665.176,-139875.49591469334,0.0,7463.666597136005,3086.168147723336
5235,DUAL_ACCESS,UNIVERSAL,4PMC2209_2,4PMC2209,4781,589,66665.176,-139875.49591469334,0.0,7463.666597136005,3086.168147723336
5234,DUAL_ACCESS,UNIVERSAL,4PMC2209_3,4PMC2209,4780,0,66665.176,-139931.16258136,0.0,7463.666597136005,3141.834814389993
5233,DUAL_ACCESS,UNIVERSAL,4PMC2209_4,4PMC2209,4780,0,66665.176,-139931.16258136,0.0,7463.666597136005,3141.834814389993
5232,DUAL_ACCESS,UNIVERSAL,4PMC2210_1,4PMC2210,4779,578,66665.17610915066,-139974.92775694665,0.0,7463.666706286662,3185.5999899766466
5231,DUAL_ACCESS,UNIVERSAL,4PMC2210_2,4PMC2210,4778,1182,66665.176,-140012.26113322,0.0,7463.666597136005,3222.933366249985
5230,DUAL_ACCESS,UNIVERSAL,4PMC2210_3,4PMC2210,4778,674,66665.176,-140012.26113322,0.0,7463.666597136005,3222.933366249985
5229,DUAL_ACCESS,UNIVERSAL,4PMC2210_4,4PMC2210,4777,1105,66665.176,-140043.59446655333,0.0,7463.666597136005,3254.266699583328
5228,DUAL_ACCESS,UNIVERSAL,4PMC2211_1,4PMC2211,4775,1795,66665.176,-140132.09446655333,0.0,7463.666597136005,3342.766699583328
5227,DUAL_ACCESS,UNIVERSAL,4PMC2211_2,4PMC2211,4775,1288,66665.176,-140132.09446655333,0.0,7463.666597136005,3342.766699583328
5226,DUAL_ACCESS,UNIVERSAL,4PMC2211_3,4PMC2211,4775,780,66665.176,-140132.09446655333,0.0,7463.666597136005,3342.766699583328
5225,DUAL_ACCESS,UNIVERSAL,4PMC2211_4,4PMC2211,4775,271,66665.176,-140132.09446655333,0.0,7463.666597136005,3342.766699583328
5224,DUAL_ACCESS,UNIVERSAL,4PMC2212_1,4PMC2212,4773,1094,66665.17610915066,-140225.86117615664,0.0,7463.666706286662,3436.533409186639
5223,DUAL_ACCESS,UNIVERSAL,4PMC2212_2,4PMC2212,4773,589,66665.17610915066,-140225.86117615664,0.0,7463.666706286662,3436.533409186639
5222,DUAL_ACCESS,UNIVERSAL,4PMC2212_3,4PMC2212,4772,944,66665.176,-140254.92760922998,0.0,7463.666597136005,3465.5998422599805
5221,DUAL_ACCESS,UNIVERSAL,4PMC2212_4,4PMC2212,4772,439,66665.176,-140254.92760922998,0.0,7463.666597136005,3465.5998422599805
5412,DUAL_ACCESS,UNIVERSAL,4PMC2303_1,4PMC2303,4836,2150,67014.50933333334,-139173.96114350334,0.0,7812.999930469334,2384.63337653334
5411,DUAL_ACCESS,UNIVERSAL,4PMC2303_2,4PMC2303,4836,1639,67014.50933333334,-139173.96114350334,0.0,7812.999930469334,2384.63337653334
5410,DUAL_ACCESS,UNIVERSAL,4PMC2303_3,4PMC2303,4836,1130,67014.50933333334,-139173.96114350334,0.0,7812.999930469334,2384.63337653334
5409,DUAL_ACCESS,UNIVERSAL,4PMC2303_4,4PMC2303,4836,620,67014.50933333334,-139173.96114350334,0.0,7812.999930469334,2384.63337653334
9231,DUAL_ACCESS,UNIVERSAL,4PMC4204_1,4PMC4204,1477,0,66572.442,-138062.18435484334,0.0,7370.932597135994,1272.8565878733352
9230,DUAL_ACCESS,UNIVERSAL,4PMC4204_2,4PMC4204,1476,1834,66572.442,-137995.51768817668,0.0,7370.932597135994,1206.1899212066783
9229,DUAL_ACCESS,UNIVERSAL,4PMC4204_3,4PMC4204,1476,1324,66572.442,-137995.51768817668,0.0,7370.932597135994,1206.1899212066783
9228,DUAL_ACCESS,UNIVERSAL,4PMC4204_4,4PMC4204,1476,817,66572.442,-137995.51768817668,0.0,7370.932597135994,1206.1899212066783
9226,DUAL_ACCESS,UNIVERSAL,4PMC4205_1,4PMC4205,1475,617,66572.442,-137938.68435484334,0.0,7370.932597135994,1149.3565878733352
9225,DUAL_ACCESS,UNIVERSAL,4PMC4205_2,4PMC4205,1474,1217,66572.441994597,-137901.75097857334,0.0,7370.932591732999,1112.4232116033381
9224,DUAL_ACCESS,UNIVERSAL,4PMC4205_3,4PMC4205,1474,708,66572.441994597,-137901.75097857334,0.0,7370.932591732999,1112.4232116033381
9223,DUAL_ACCESS,UNIVERSAL,4PMC4205_4,4PMC4205,1474,198,66572.441994597,-137901.75097857334,0.0,7370.932591732999,1112.4232116033381
9445,DUAL_ACCESS,UNIVERSAL,4PMC4313_1,4PMC4313,1381,959,66237.50933333334,-137917.46145205334,0.0,7035.999930469334,1128.1336850833322
9444,DUAL_ACCESS,UNIVERSAL,4PMC4313_2,4PMC4313,1381,453,66237.50933333334,-137917.46145205334,0.0,7035.999930469334,1128.1336850833322
9443,DUAL_ACCESS,UNIVERSAL,4PMC4313_3,4PMC4313,1380,1660,66237.50933333334,-137860.62811872,0.0,7035.999930469334,1071.3003517499892
9442,DUAL_ACCESS,UNIVERSAL,4PMC4313_4,4PMC4313,1380,1152,66237.50933333334,-137860.62811872,0.0,7035.999930469334,1071.3003517499892
4710,DUAL_ACCESS,UNIVERSAL,4PMI1901_1,4PMI1901,4526,729,65358.51,-139071.26710764001,0.0,6157.000597136001,2281.939340670011
4709,DUAL_ACCESS,UNIVERSAL,4PMI1901_2,4PMI1901,4526,225,65358.51,-139071.26710764001,0.0,6157.000597136001,2281.939340670011
9472,DUAL_ACCESS,UNIVERSAL,4PMI4301_1,4PMI4301,1420,0,66237.50933333334,-138701.46094274,0.0,7035.999930469334,1912.1331757699954
9471,DUAL_ACCESS,UNIVERSAL,4PMI4301_2,4PMI4301,1420,0,66237.50933333334,-138701.46094274,0.0,7035.999930469334,1912.1331757699954
9470,DUAL_ACCESS,UNIVERSAL,4PMI4301_3,4PMI4301,1419,906,66237.50933333334,-138674.46074196,0.0,7035.999930469334,1885.1329749900033
21000,DUAL_ACCESS,UNIVERSAL,4PMI4501_1,4PMI4501,6374,992,65573.40942948233,-138774.694,0.0,6371.900026618328,1985.3662330299849
9802,DUAL_ACCESS,UNIVERSAL,4PMI4501_2,4PMI4501,6374,488,65573.40942948233,-138774.694,0.0,6371.900026618328,1985.3662330299849
10404,DUAL_ACCESS,UNIVERSAL,4PMI4801_1,4PMI4801,960,468,64278.509333333335,-138642.43596813668,0.0,5076.999930469334,1853.108201166673
10403,DUAL_ACCESS,UNIVERSAL,4PMI4801_2,4PMI4801,5630,758,64278.52214665,-138668.92776728334,0.0,5077.012743785999,1879.6000003133377
10402,DUAL_ACCESS,UNIVERSAL,4PMI4801_3,4PMI4801,5630,253,64278.52214665,-138668.92776728334,0.0,5077.012743785999,1879.6000003133377
11080,DUAL_ACCESS,UNIVERSAL,4PMI5101_1,4PMI5101,782,0,62767.509333333335,-138701.46094270668,0.0,3565.999930469334,1912.1331757366715
11079,DUAL_ACCESS,UNIVERSAL,4PMI5101_2,4PMI5101,782,0,62767.509333333335,-138701.46094270668,0.0,3565.999930469334,1912.1331757366715
11078,DUAL_ACCESS,UNIVERSAL,4PMI5101_3,4PMI5101,782,0,62767.509333333335,-138701.46094270668,0.0,3565.999930469334,1912.1331757366715
5104,DUAL_ACCESS,UNIVERSAL,4PND2119_1,4PND2119,4714,286,66277.176,-139097.93577586667,0.0,7075.666597136005,2308.60800889667
35074,DUAL_ACCESS,UNIVERSAL,4PND2119_2,4PND2119,4706,1438,66277.176,-139153.60244253333,0.0,7075.666597136005,2364.274675563327
35073,DUAL_ACCESS,UNIVERSAL,4PND2119_3,4PND2119,4706,932,66277.176,-139153.60244253333,0.0,7075.666597136005,2364.274675563327
5103,DUAL_ACCESS,UNIVERSAL,4PND2119_4,4PND2119,4706,426,66277.176,-139153.60244253333,0.0,7075.666597136005,2364.274675563327
5204,DUAL_ACCESS,UNIVERSAL,4PND2213_1,4PND2213,4722,512,66601.176,-138919.79427601333,0.0,7399.666597136005,2130.4665090433264
5203,DUAL_ACCESS,UNIVERSAL,4PND2213_2,4PND2213,4721,1100,66601.17610519766,-138883.36094268,0.0,7399.666702333663,2094.0331757100066
