index,seq_max,seq_last,future_max,down_amount,HUBROOMTOTAL,M16A_3F_STORAGE_UTIL,CD_M163FSTORAGEUTIL,M16A_3F_CMD
1678,375.0,269.0,267.0,108.0,774.0,209.0,1.0,200.0
1679,375.0,257.0,272.0,103.0,781.0,210.0,0.0,196.0
1680,372.0,262.0,280.0,92.0,791.0,210.0,0.0,195.0
1681,372.0,258.0,280.0,92.0,796.0,210.0,0.0,191.0
1682,372.0,259.0,280.0,92.0,805.0,210.0,0.0,198.0
1683,372.0,262.0,280.0,92.0,803.0,210.0,0.0,200.0
1684,372.0,262.0,280.0,92.0,814.0,210.0,0.0,203.0
1685,369.0,261.0,280.0,89.0,827.0,210.0,0.0,193.0
1686,368.0,267.0,280.0,88.0,844.0,210.0,0.0,199.0
1687,353.0,266.0,280.0,73.0,854.0,210.0,0.0,196.0
1688,353.0,264.0,280.0,73.0,850.0,210.0,0.0,196.0
1689,349.0,272.0,280.0,69.0,865.0,210.0,0.0,210.0
1690,346.0,280.0,279.0,67.0,867.0,210.0,0.0,219.0
1691,346.0,279.0,279.0,67.0,861.0,210.0,0.0,216.0
1692,335.0,274.0,284.0,51.0,855.0,210.0,1.0,217.0
1693,332.0,271.0,284.0,48.0,848.0,210.0,1.0,203.0
1694,329.0,277.0,293.0,36.0,863.0,210.0,1.0,205.0
1695,328.0,279.0,299.0,29.0,879.0,210.0,1.0,208.0
1759,374.0,306.0,294.0,80.0,900.0,208.0,2.0,200.0
1760,374.0,294.0,294.0,80.0,884.0,208.0,2.0,205.0
1761,374.0,294.0,282.0,92.0,870.0,208.0,2.0,205.0
1762,374.0,282.0,261.0,113.0,849.0,208.0,2.0,196.0
1763,374.0,261.0,275.0,99.0,816.0,208.0,2.0,187.0
1764,374.0,235.0,284.0,90.0,792.0,208.0,2.0,169.0
1765,374.0,226.0,291.0,83.0,799.0,208.0,2.0,161.0
1766,374.0,235.0,291.0,83.0,815.0,208.0,2.0,178.0
1957,387.0,310.0,293.0,94.0,823.0,197.0,20.0,216.0
1958,387.0,293.0,285.0,102.0,822.0,197.0,19.0,206.0
1959,387.0,285.0,272.0,115.0,825.0,197.0,19.0,199.0
1960,387.0,272.0,264.0,123.0,833.0,197.0,19.0,194.0
1961,387.0,264.0,257.0,130.0,848.0,197.0,18.0,194.0
1962,387.0,257.0,260.0,127.0,849.0,198.0,18.0,190.0
1963,387.0,249.0,260.0,127.0,864.0,199.0,17.0,180.0
